,city,latitude,longitude
1,New York,40.7128,-74.006
2,Los Angeles,34.0522,-118.2437
3,Chicago,41.8781,-87.6298
4,Houston,29.7604,-95.3698
5,Phoenix,33.4484,-112.074
6,Philadelphia,39.9526,-75.1652
7,San Antonio,29.4241,-98.4936
8,San Diego,32.7157,-117.1611
9,Dallas,32.7767,-96.797
10,San Jose,37.3382,-121.8863
11,Austin,30.2672,-97.7431
12,Jacksonville,30.3322,-81.6557
13,Fort Worth,32.7555,-97.3308
14,Columbus,39.9612,-82.9988
15,Indianapolis,39.7684,-86.1581
16,Charlotte,35.2271,-80.8431
17,San Francisco,37.7749,-122.4194
,,,
19,Denver,39.7392,-104.9903
20,Oklahoma City,35.4676,-97.5164
21,Nashville,36.1627,-86.7816
22,El Paso,31.7619,-106.485
23,Washington,38.9072,-77.0369
24,Boston,42.3601,-71.0589
25,Las Vegas,36.1699,-115.1398
26,Portland,45.5051,-122.675
27,Detroit,42.3314,-83.0458
28,Louisville,38.2527,-85.7585
29,Memphis,35.1495,-90.049
30,Baltimore,39.2904,-76.6122